Xbox Game Title	Title ID (Hex)	Title	XDK version
Ghost Master The Gravenville Chronicles	454D0004	Ghost Master	5849
Gladiator: Sword of Vengeance	4143001A	Gladiator: SoV	5558
Gladius	4C410008	Gladius™	5659
Goblin Commander: Unleash the Horde	4A410005	Goblin Commander	5659
Godzilla: Destroy All Monsters Melee	49470039	Godzilla: Melee	5233
Godzilla: Save the Earth	49470073	Save the Earth	5849
GoldenEye: Rogue Agent	4541005D	GoldenEye: Rogue Agent	5849
Gotcha	5454007E	Gotcha!	5849
Grabbed by the Ghoulies	4D530053	Grabbed by the Ghoulies	5659
Grand Theft Auto Double Pack			
Grand Theft Auto III	5454000E	Grand Theft Auto III	5659
Grand Theft Auto: San Andreas (The Trilogy)	545400A3	GTA San Andreas	5849
Grand Theft Auto: San Andreas (NTSC)	54540082		
Grand Theft Auto: San Andreas (PAL)	54540086		
Grand Theft Auto: Vice City	5454000F	Grand Theft Auto: Vice City	5659
Gravity Games Bike	4D57000D	Gravity Games Bike: Street Vert Dirt	4361
Greg Hastings' Tournament Paintball	41560042	Greg Hastings' Tournament Paintball	5849
Greg Hastings’ Tournament Paintball MAX’D	41560057	GHTP Max'd	5849
Grooverider Slot Car Thunder	45430002	Grooverider: Slot Car Thunder	5455
Group S Challenge	43430005	GROUP-S	5233
GUILTY GEAR ISUKA	41570001	GUILTY GEAR ISUKA	5849
Guilty Gear X2 #Reload	53410002	GuiltyGearX2#RELOAD	5849
GUN	4156004B	Gun	5849
Gun Metal	4D4A0003	Gun Metal	4361
GunGriffon: Allied Strike	54430009	GUNGRIFFON Allied Strike	5849
GunValkyrie	5345000B	GUNVALKYRIE	4134
Half-Life 2	45410091	Half - Life 2	5849
Half-Life 2 (hl2_xbox.xbe)	45410091	Half Life 2 - Retail Build	5849
Halo (NTSC)	4D530004	Halo	3925
Halo (NTSC-J)	4D530004	Halo	3948
Halo (PAL)	4D530004	Halo	3948
Halo 2	4D530064	Halo 2	5849
Halo 2 Multiplayer Map Pack	4D5380CD	Halo 2 Multiplayer Map Pack	5849
Harry Potter and the Chamber of Secrets	4541000E	N/A	5028
Harry Potter and the Goblet of Fire	45410077	Harry Potter: GOF	5849
Harry Potter and the Prisoner of Azkaban	4541004C	Harry Potter: POA	5849
